PosX,PosY,PosZ,Fall Type,SessionID,PlayerID,DateTime,
84.04952,0.2843156,7.14817,2,79870,97833,21/12/2020 13:09:49,
63.01496,-0.9559577,29.63401,2,79870,69528,21/12/2020 13:12:54,
63.01488,-0.8719618,29.63131,2,79870,69528,21/12/2020 13:12:55,
-27.34819,0.01651812,-32.31027,2,79870,96069,21/12/2020 13:40:09,
21.32101,-0.7615252,-13.65525,2,79870,96069,21/12/2020 13:41:39,
25.43974,-0.905758,-27.60362,2,79870,96069,21/12/2020 13:42:03,
78.61068,-4.661309,17.63933,1,79870,96069,21/12/2020 13:43:24,
72.36557,-4.647136,0.4618835,1,79870,96069,21/12/2020 13:43:29,
98.77357,-4.608181,16.86745,1,79870,96069,21/12/2020 13:43:44,
81.23342,0.2843156,6.322356,2,79870,96069,21/12/2020 13:43:51,
