Switch Number,Time,SessionID,PlayerID,DateTime,
1,39.1,79870,97833,21/12/2020 13:09:11,
2,74.58,79870,97833,21/12/2020 13:09:47,
2,79.46,79870,97833,21/12/2020 13:09:51,
3,0,79870,97833,21/12/2020 13:10:16,
2,14.92,79870,69528,21/12/2020 13:11:34,
1,86.1,79870,69528,21/12/2020 13:12:45,
3,0,79870,69528,21/12/2020 13:13:14,
3,0,79870,69528,21/12/2020 13:13:16,
2,144.14,79870,69528,21/12/2020 13:13:43,
2,20.54,79870,96069,21/12/2020 13:40:19,
1,110.74,79870,96069,21/12/2020 13:41:50,
3,0,79870,96069,21/12/2020 13:43:12,
2,222.98,79870,96069,21/12/2020 13:43:42,
2,227.72,79870,96069,21/12/2020 13:43:47,
2,234.5,79870,96069,21/12/2020 13:43:53,
2,237.66,79870,96069,21/12/2020 13:43:57,
2,242.02,79870,96069,21/12/2020 13:44:01,
