Switch Number,Time,PlayerID,DateTime,
1,81.3,34502,21/12/2020 0:02:55,
3,0,34502,21/12/2020 0:03:41,
2,155.52,34502,21/12/2020 0:04:09,
2,24.18,80445,21/12/2020 0:19:54,
1,121.46,80445,21/12/2020 0:21:31,
3,0,80445,21/12/2020 0:22:03,
2,185.12,80445,21/12/2020 0:22:36,
2,20.86,62638,21/12/2020 0:28:25,
1,90.72,62638,21/12/2020 0:29:35,
2,120.86,62638,21/12/2020 0:30:05,
2,125.1,62638,21/12/2020 0:30:09,
2,127.68,62638,21/12/2020 0:30:12,
2,136.3,62638,21/12/2020 0:30:21,
3,0,62638,21/12/2020 0:31:01,
1,30.46,31512,21/12/2020 0:33:21,
2,54.3,31512,21/12/2020 0:33:45,
3,0,31512,21/12/2020 0:34:01,
3,0,31512,21/12/2020 0:34:03,
